,in.geometry_floor_area,in.heating_fuel,in.insulation_wall,in.heating_setpoint,in.representative_income,in.infiltration,in.duct_leakage_and_insulation,in.hvac_heating_type,in.tenure,in.vintage,in.cooling_setpoint,bldg_id,in.geometry_foundation_type,in.hvac_heating_efficiency,in.occupants,in.refrigerator,in.water_heater_efficiency,in.bedrooms,in.window_areas,in.windows,out.site_energy.total.energy_consumption.kwh,in.geometry_building_type_recs,in.geometry_stories,in.geometry_building_number_units_mf,in.vintage_acs,in.hvac_cooling_type,in.geometry_wall_type,in.roof_material,in.geometry_garage,in.geometry_attic_type
296,2500-2999,Propane,"Wood Stud, R-19",70F,273335,20 ACH50,"20% Leakage to Outside, R-4",Ducted Heating,Owner,1990s,72F,272302,Slab,"Fuel Furnace, 80% AFUE",5,EF 6.7,Electric Premium,4,F15 B15 L15 R15,"Single, Clear, Non-metal",64786.5838433416,Single-Family Detached,1,,1980-99,Central AC,Wood Frame,Wood Shingles,2 Car,Vented Attic
297,2000-2499,Fuel Oil,"Wood Stud, Uninsulated",72F,280058,15 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,72F,273700,Slab,"Fuel Furnace, 80% AFUE",2,EF 6.7,Fuel Oil Standard,2,F12 B12 L12 R12,"Single, Clear, Non-metal",73095.1486827241,Single-Family Detached,2,,<1940,Central AC,Wood Frame,"Asphalt Shingles, Medium",,
298,1000-1499,Natural Gas,"Wood Stud, Uninsulated",55F,0,15 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Not Available,<1940,70F,273946,Heated Basement,"Fuel Furnace, 80% AFUE",0,EF 19.9,Natural Gas Tankless,2,F18 B18 L18 R18,"Double, Low-E, Non-metal, Air, M-Gain",20455.4814848105,Single-Family Detached,2,,<1940,,Wood Frame,Wood Shingles,,Unvented Attic
299,2500-2999,Natural Gas,"Wood Stud, Uninsulated",72F,74877,15 ACH50,"30% Leakage to Outside, Uninsulated",Ducted Heating,Renter,1950s,65F,275002,Vented Crawlspace,"Fuel Furnace, 80% AFUE",2,EF 17.6,Electric Standard,4,F15 B15 L15 R15,"Double, Low-E, Non-metal, Air, M-Gain",93810.5842067774,Single-Family Detached,1,,1940-59,,Wood Frame,"Asphalt Shingles, Medium",1 Car,Vented Attic
300,0-499,Natural Gas,"Wood Stud, Uninsulated",70F,12566,40 ACH50,,Non-Ducted Heating,Renter,<1940,62F,277866,Vented Crawlspace,Shared Heating,4,EF 17.6,Natural Gas Premium,2,F30 B30 L30 R30,"Single, Clear, Non-metal",11064.8982543522,Multi-Family with 5+ Units,9,116.0,<1940,,Steel Frame,"Asphalt Shingles, Medium",,
301,1500-1999,Fuel Oil,"Wood Stud, Uninsulated",70F,89642,6 ACH50,"30% Leakage to Outside, R-4",Non-Ducted Heating,Owner,<1940,76F,278652,Slab,"Fuel Boiler, 80% AFUE",4,EF 17.6,Fuel Oil Standard,3,F9 B9 L9 R9,"Double, Clear, Non-metal, Air",47431.7942809531,Single-Family Detached,2,,<1940,Central AC,Wood Frame,Composition Shingles,,Vented Attic
302,500-749,Electricity,"Brick, 12-in, 3-wythe, R-7",72F,27012,15 ACH50,,Non-Ducted Heating,Renter,1970s,70F,279322,Slab,Shared Heating,1,EF 19.9,Propane Standard,1,F12 B12 L12 R12,"Double, Low-E, Non-metal, Air, M-Gain",9953.57275625918,Multi-Family with 5+ Units,1,67.0,1960-79,Central AC,Brick,"Asphalt Shingles, Medium",,
303,750-999,Natural Gas,"Wood Stud, R-11",70F,22223,15 ACH50,,Non-Ducted Heating,Renter,1990s,70F,280107,Slab,Shared Heating,1,EF 19.9,Natural Gas Premium,1,F30 B30 L30 R30,"Double, Low-E, Non-metal, Air, M-Gain",19999.4628996226,Multi-Family with 5+ Units,3,24.0,1980-99,Central AC,Wood Frame,"Asphalt Shingles, Medium",,
304,2500-2999,Propane,"Wood Stud, R-15",65F,12566,6 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Renter,1990s,70F,281018,Heated Basement,"Fuel Furnace, 92.5% AFUE",4,EF 15.9,Electric Standard,2,F15 B15 L15 R15,"Single, Clear, Non-metal, Exterior Clear Storm",23480.2680000581,Single-Family Detached,1,,1980-99,Room AC,Wood Frame,Composition Shingles,2 Car,
305,500-749,Natural Gas,"Wood Stud, Uninsulated",55F,0,25 ACH50,,Non-Ducted Heating,Not Available,1960s,62F,281076,Slab,Shared Heating,0,EF 6.7,Natural Gas Standard,1,F12 B12 L12 R12,"Double, Low-E, Non-metal, Air, M-Gain",10226.7149936596,Multi-Family with 2 - 4 Units,2,2.0,1960-79,Room AC,Wood Frame,"Tile, Clay or Ceramic",,
306,1000-1499,Natural Gas,"Brick, 12-in, 3-wythe, R-7",70F,23202,15 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Renter,1970s,72F,281716,Slab,"Fuel Furnace, 80% AFUE",3,EF 17.6,Natural Gas Standard,3,F15 B15 L15 R15,"Triple, Low-E, Non-metal, Air, L-Gain",24376.1862615745,Multi-Family with 2 - 4 Units,2,2.0,1960-79,Room AC,Brick,Composition Shingles,,
307,2000-2499,Fuel Oil,"Brick, 12-in, 3-wythe, Uninsulated",72F,12655,40 ACH50,,Non-Ducted Heating,Renter,<1940,72F,283349,Vented Crawlspace,Shared Heating,2,,Fuel Oil Standard,2,F12 B12 L12 R12,"Single, Clear, Non-metal",71280.7456872878,Multi-Family with 2 - 4 Units,3,3.0,<1940,Room AC,Brick,"Asphalt Shingles, Medium",,
308,1000-1499,Natural Gas,"Wood Stud, R-7",70F,4849,40 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1970s,75F,284401,Heated Basement,"Fuel Furnace, 92.5% AFUE",1,EF 19.9,Electric Premium,5,F6 B6 L6 R6,"Double, Clear, Metal, Air",34962.2063872654,Single-Family Detached,1,,1960-79,Central AC,Wood Frame,"Asphalt Shingles, Medium",,Vented Attic
309,750-999,Propane,"Wood Stud, R-19",70F,267342,7 ACH50,"20% Leakage to Outside, R-4",Non-Ducted Heating,Owner,1990s,78F,285282,Slab,"Fuel Boiler, 80% AFUE",3,EF 17.6,Propane Standard,3,F9 B9 L9 R9,"Double, Clear, Metal, Air",17839.5291124533,Single-Family Detached,1,,1980-99,Central AC,Wood Frame,Wood Shingles,1 Car,
310,1000-1499,Natural Gas,"Wood Stud, Uninsulated",70F,42184,15 ACH50,,Non-Ducted Heating,Renter,<1940,65F,286979,Unheated Basement,"Fuel Boiler, 80% AFUE",1,EF 19.9,Natural Gas Standard,2,F9 B9 L9 R9,"Single, Clear, Non-metal",27420.3154674534,Multi-Family with 2 - 4 Units,1,2.0,<1940,Room AC,Wood Frame,Composition Shingles,,
311,2500-2999,Electricity,"Wood Stud, R-19",68F,149501,6 ACH50,"20% Leakage to Outside, R-8",Ducted Heat Pump,Owner,2010s,68F,288184,Slab,"ASHP, SEER 15, 8.5 HSPF",3,EF 19.9,Electric Standard,4,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",29630.6574786923,Single-Family Detached,2,,2010s,Ducted Heat Pump,Wood Frame,"Asphalt Shingles, Medium",2 Car,
312,1000-1499,Natural Gas,"Brick, 12-in, 3-wythe, Uninsulated",70F,64915,7 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,72F,291004,Heated Basement,"Fuel Furnace, 80% AFUE",5,EF 17.6,Natural Gas Standard,3,F15 B15 L15 R15,"Double, Low-E, Non-metal, Air, M-Gain",45282.1179812398,Single-Family Detached,1,,<1940,Room AC,Brick,"Asphalt Shingles, Medium",1 Car,Vented Attic
313,1000-1499,Natural Gas,"Wood Stud, Uninsulated",70F,17535,15 ACH50,,Ducted Heating,Renter,<1940,68F,291145,Vented Crawlspace,Shared Heating,5,EF 17.6,Natural Gas Standard,3,F12 B12 L12 R12,"Single, Clear, Non-metal, Exterior Clear Storm",33565.4296668246,Multi-Family with 2 - 4 Units,2,2.0,<1940,,Wood Frame,"Tile, Clay or Ceramic",,
314,3000-3999,Natural Gas,"Wood Stud, R-19",68F,64407,5 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,2000s,75F,292540,Heated Basement,"Fuel Furnace, 80% AFUE",1,EF 17.6,Natural Gas Standard,3,F12 B12 L12 R12,"Double, Clear, Metal, Air, Exterior Clear Storm",39275.9194691303,Single-Family Detached,2,,2000-09,Central AC,Wood Frame,Wood Shingles,2 Car,Vented Attic
315,0-499,Fuel Oil,"Wood Stud, Uninsulated",55F,0,30 ACH50,"10% Leakage to Outside, Uninsulated",Ducted Heating,Not Available,1950s,62F,292746,Unheated Basement,"Fuel Furnace, 80% AFUE",0,EF 17.6,Fuel Oil Premium,1,F9 B9 L9 R9,"Single, Clear, Non-metal",10448.56979378,Single-Family Detached,1,,1940-59,Central AC,Wood Frame,Slate,1 Car,Vented Attic
316,1000-1499,Natural Gas,"Wood Stud, R-11",68F,108692,15 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1980s,65F,293340,Ambient,"Fuel Furnace, 80% AFUE",2,EF 6.7,Electric Standard,3,F15 B15 L15 R15,"Single, Clear, Non-metal",31483.4527843211,Mobile Home,1,,1980-99,Room AC,Wood Frame,"Tile, Clay or Ceramic",,
317,2500-2999,Natural Gas,"Wood Stud, R-11",72F,128932,6 ACH50,"10% Leakage to Outside, R-4",Ducted Heating,Owner,1980s,72F,294164,Slab,"Fuel Furnace, 80% AFUE",2,EF 17.6,Natural Gas Tankless,3,F9 B9 L9 R9,"Double, Clear, Non-metal, Air",50395.3289425346,Single-Family Detached,2,,1980-99,Central AC,Wood Frame,"Asphalt Shingles, Medium",2 Car,
318,1000-1499,Other Fuel,"Wood Stud, R-11",70F,47457,7 ACH50,"20% Leakage to Outside, R-4",Non-Ducted Heating,Owner,1980s,72F,295328,Slab,"Fuel Wall/Floor Furnace, 60% AFUE",2,EF 19.9,Electric Standard,4,F9 B9 L9 R9,"Double, Clear, Non-metal, Air, Exterior Clear Storm",8331.7174539261,Single-Family Detached,2,,1980-99,Central AC,Wood Frame,Composition Shingles,,Vented Attic
319,500-749,Propane,"Brick, 12-in, 3-wythe, Uninsulated",70F,54746,25 ACH50,,Non-Ducted Heating,Renter,<1940,70F,296419,Vented Crawlspace,Shared Heating,3,EF 15.9,Electric Standard,2,F30 B30 L30 R30,"Single, Clear, Non-metal",29102.8364813121,Multi-Family with 2 - 4 Units,2,2.0,<1940,Room AC,Brick,Composition Shingles,,
320,0-499,Electricity,"Wood Stud, Uninsulated",55F,0,10 ACH50,,Non-Ducted Heating,Not Available,1940s,72F,297453,Heated Basement,"Electric Boiler, 100% AFUE",0,EF 19.9,Natural Gas Standard,1,F18 B18 L18 R18,"Double, Clear, Non-metal, Air",6746.49603536455,Single-Family Detached,1,,1940-59,Room AC,Wood Frame,"Asphalt Shingles, Medium",,Vented Attic
321,1000-1499,Electricity,"Wood Stud, R-11",55F,0,8 ACH50,"30% Leakage to Outside, R-6",Ducted Heating,Not Available,2010s,68F,298808,Unvented Crawlspace,"Electric Furnace, 100% AFUE",0,EF 17.6,Electric Standard,3,F6 B6 L6 R6,"Double, Low-E, Non-metal, Air, M-Gain",9346.03642779216,Single-Family Detached,1,,2010s,Room AC,Wood Frame,"Asphalt Shingles, Medium",1 Car,
322,1500-1999,Fuel Oil,"Wood Stud, R-11",70F,36175,15 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1980s,75F,299425,Heated Basement,"Fuel Furnace, 80% AFUE",1,EF 19.9,Fuel Oil Standard,1,F18 B18 L18 R18,"Double, Clear, Non-metal, Air",31779.1614941249,Single-Family Detached,1,,1980-99,Central AC,Wood Frame,Composition Shingles,2 Car,Vented Attic
323,750-999,Natural Gas,"Wood Stud, Uninsulated",72F,92315,15 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Renter,1960s,68F,300837,Heated Basement,"Fuel Furnace, 80% AFUE",3,EF 17.6,Natural Gas Standard,1,F9 B9 L9 R9,"Double, Clear, Non-metal, Air",26581.8391356907,Single-Family Attached,1,,1960-79,,Wood Frame,Composition Shingles,,Vented Attic
324,750-999,Electricity,"Wood Stud, Uninsulated",55F,0,15 ACH50,,Non-Ducted Heating,Not Available,<1940,75F,300839,Vented Crawlspace,Shared Heating,0,EF 19.9,Electric Standard,2,F9 B9 L9 R9,"Single, Clear, Non-metal, Exterior Clear Storm",8662.0085500102,Multi-Family with 2 - 4 Units,3,3.0,<1940,Room AC,Wood Frame,"Metal, Dark",,
325,750-999,Natural Gas,"Wood Stud, Uninsulated",70F,15960,15 ACH50,,Non-Ducted Heating,Renter,<1940,68F,301424,Unheated Basement,Shared Heating,2,EF 19.9,Natural Gas Standard,2,F12 B12 L12 R12,"Single, Clear, Non-metal",29190.7578023638,Multi-Family with 2 - 4 Units,2,2.0,<1940,Room AC,Wood Frame,Wood Shingles,,
326,3000-3999,Fuel Oil,"Wood Stud, Uninsulated",67F,74877,20 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1950s,80F,301762,Heated Basement,"Fuel Furnace, 80% AFUE",6,EF 17.6,Natural Gas Premium,5,F12 B12 L12 R12,"Double, Clear, Non-metal, Air, Exterior Clear Storm",89370.5574936683,Single-Family Detached,2,,1940-59,Room AC,Wood Frame,Composition Shingles,,
327,1000-1499,Natural Gas,"Wood Stud, Uninsulated",78F,169054,20 ACH50,"10% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1940s,67F,302371,Unheated Basement,"Fuel Furnace, 80% AFUE",3,EF 19.9,Natural Gas Standard,3,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",56378.3748401005,Single-Family Detached,1,,1940-59,Room AC,Wood Frame,"Asphalt Shingles, Medium",,Vented Attic
328,1000-1499,Fuel Oil,"Wood Stud, Uninsulated",65F,13633,30 ACH50,"10% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1940s,68F,302909,Unheated Basement,"Fuel Furnace, 80% AFUE",1,EF 17.6,Fuel Oil Standard,3,F18 B18 L18 R18,"Single, Clear, Non-metal",44773.639674491,Single-Family Detached,1,,1940-59,Central AC,Wood Frame,Slate,,
329,500-749,Natural Gas,"Brick, 12-in, 3-wythe, Uninsulated",65F,16639,15 ACH50,,Ducted Heating,Renter,<1940,65F,303195,Vented Crawlspace,Shared Heating,1,EF 17.6,Natural Gas Standard,1,F30 B30 L30 R30,"Double, Low-E, Non-metal, Air, M-Gain",15504.338825321,Multi-Family with 5+ Units,2,5.0,<1940,Room AC,Brick,"Asphalt Shingles, Medium",,
330,500-749,Fuel Oil,"Wood Stud, R-7",70F,54746,20 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1970s,65F,303288,Ambient,"Fuel Furnace, 80% AFUE",3,EF 15.9,Electric Premium,2,F18 B18 L18 R18,"Double, Low-E, Non-metal, Air, M-Gain",22828.1848689249,Mobile Home,1,,1960-79,Room AC,Wood Frame,"Metal, Dark",,
331,2500-2999,Natural Gas,"Wood Stud, R-11",70F,280058,3 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,2010s,78F,303300,Heated Basement,"Fuel Furnace, 92.5% AFUE",2,EF 19.9,Natural Gas Standard,4,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",27447.8641480496,Single-Family Detached,2,,2010s,Central AC,Wood Frame,Composition Shingles,,
332,2000-2499,Natural Gas,"Wood Stud, R-7",70F,129299,6 ACH50,"20% Leakage to Outside, Uninsulated",Non-Ducted Heating,Owner,1970s,72F,303512,Unheated Basement,"Fuel Wall/Floor Furnace, 60% AFUE",4,EF 17.6,Electric Tankless,4,F30 B30 L30 R30,"Single, Clear, Non-metal",64473.8770114678,Single-Family Detached,2,,1960-79,Central AC,Wood Frame,Composition Shingles,1 Car,Unvented Attic
333,0-499,Fuel Oil,"Wood Stud, Uninsulated",55F,0,25 ACH50,"10% Leakage to Outside, Uninsulated",Ducted Heating,Not Available,<1940,80F,303537,Unheated Basement,"Fuel Furnace, 80% AFUE",0,EF 17.6,Electric Standard,2,F18 B18 L18 R18,"Double, Low-E, Non-metal, Air, M-Gain",8904.6713961128,Single-Family Detached,2,,<1940,Central AC,Wood Frame,"Metal, Dark",,
334,0-499,Natural Gas,"Wood Stud, R-19",68F,4849,20 ACH50,,Non-Ducted Heating,Renter,1980s,60F,304172,Unheated Basement,"Fuel Boiler, 80% AFUE",1,,Natural Gas Standard,1,F18 B18 L18 R18,"Single, Clear, Non-metal",10662.5116750057,Multi-Family with 5+ Units,2,8.0,1980-99,Room AC,Wood Frame,"Asphalt Shingles, Medium",,
335,2000-2499,Natural Gas,"Wood Stud, Uninsulated",68F,82516,40 ACH50,"10% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,70F,304423,Unheated Basement,"Fuel Furnace, 80% AFUE",3,EF 15.9,Natural Gas Standard,3,F12 B12 L12 R12,"Double, Clear, Metal, Air",98343.221378061,Single-Family Detached,2,,<1940,Room AC,Wood Frame,"Asphalt Shingles, Medium",,Finished Attic or Cathedral Ceilings
336,1500-1999,Propane,"Wood Stud, Uninsulated",68F,92315,30 ACH50,"10% Leakage to Outside, Uninsulated",Non-Ducted Heating,Renter,1950s,78F,307014,Vented Crawlspace,"Fuel Wall/Floor Furnace, 68% AFUE",3,EF 15.9,Propane Standard,3,F12 B12 L12 R12,"Single, Clear, Metal",67512.7309380836,Single-Family Detached,1,,1940-59,Central AC,Wood Frame,Composition Shingles,,
337,3000-3999,Fuel Oil,"Wood Stud, Uninsulated",70F,4849,10 ACH50,"0% Leakage to Outside, Uninsulated",Non-Ducted Heating,Owner,<1940,72F,307423,Heated Basement,"Fuel Boiler, 80% AFUE",1,EF 17.6,Fuel Oil Standard,4,F18 B18 L18 R18,"Double, Low-E, Non-metal, Air, M-Gain",78439.5927183847,Single-Family Detached,2,,<1940,Central AC,Wood Frame,"Asphalt Shingles, Medium",,Vented Attic
338,1000-1499,Propane,"Wood Stud, Uninsulated",68F,4229,30 ACH50,"30% Leakage to Outside, Uninsulated",Ducted Heating,Renter,<1940,68F,310495,Vented Crawlspace,"Fuel Furnace, 92.5% AFUE",3,EF 19.9,Electric Premium,3,F9 B9 L9 R9,"Single, Clear, Non-metal",52685.3862848603,Single-Family Detached,1,,<1940,Central AC,Wood Frame,"Asphalt Shingles, Medium",1 Car,Vented Attic
339,0-499,Propane,"Wood Stud, R-11",70F,4849,10 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Renter,1980s,68F,310669,Ambient,"Fuel Furnace, 80% AFUE",1,EF 17.6,Electric Standard,1,F12 B12 L12 R12,"Single, Clear, Non-metal",11226.0873429469,Mobile Home,1,,1980-99,Room AC,Wood Frame,Slate,,
340,2500-2999,Natural Gas,"Wood Stud, Uninsulated",68F,280058,6 ACH50,"20% Leakage to Outside, R-4",Ducted Heating,Owner,1960s,75F,310716,Slab,"Fuel Furnace, 92.5% AFUE",2,EF 17.6,Natural Gas Premium,4,F6 B6 L6 R6,"Single, Clear, Non-metal",48216.6386068743,Single-Family Detached,2,,1960-79,Central AC,Wood Frame,"Asphalt Shingles, Medium",1 Car,Finished Attic or Cathedral Ceilings
341,1000-1499,Natural Gas,"Wood Stud, Uninsulated",67F,74877,15 ACH50,,Non-Ducted Heating,Owner,<1940,67F,311717,Unheated Basement,"Fuel Boiler, 80% AFUE",2,EF 17.6,Natural Gas Standard,3,F9 B9 L9 R9,"Double, Clear, Non-metal, Air",32531.7680023271,Single-Family Detached,1,,<1940,Room AC,Wood Frame,Composition Shingles,,Vented Attic
342,2500-2999,Fuel Oil,"Wood Stud, Uninsulated",70F,32325,25 ACH50,,Non-Ducted Heating,Owner,<1940,67F,312687,Heated Basement,"Fuel Wall/Floor Furnace, 68% AFUE",4,EF 17.6,Electric Premium,5,F15 B15 L15 R15,"Single, Clear, Non-metal",101730.243736041,Single-Family Detached,2,,<1940,Room AC,Wood Frame,Composition Shingles,,Vented Attic
343,750-999,Natural Gas,"Wood Stud, R-19",70F,22223,4 ACH50,,Ducted Heating,Renter,2010s,70F,317638,Unheated Basement,Shared Heating,1,EF 17.6,Natural Gas Standard,2,F30 B30 L30 R30,"Double, Low-E, Non-metal, Air, M-Gain",7092.90604030812,Multi-Family with 5+ Units,8,116.0,2010s,Central AC,Steel Frame,"Asphalt Shingles, Medium",,
344,3000-3999,Propane,"Wood Stud, R-19",67F,56892,7 ACH50,"30% Leakage to Outside, R-8",Ducted Heating,Owner,2000s,65F,319254,Slab,"Fuel Furnace, 80% AFUE",10+,EF 19.9,Electric Premium,5,F6 B6 L6 R6,"Double, Low-E, Non-metal, Air, M-Gain",47402.780245006,Single-Family Detached,1,,2000-09,Central AC,Wood Frame,Composition Shingles,2 Car,Vented Attic
345,1500-1999,Electricity,"Wood Stud, R-11",70F,42395,20 ACH50,,Ducted Heating,Renter,1980s,70F,319731,Slab,Shared Heating,4,EF 19.9,Electric Premium,2,F9 B9 L9 R9,"Single, Clear, Non-metal",28545.4153058446,Multi-Family with 2 - 4 Units,2,4.0,1980-99,Central AC,Wood Frame,"Metal, Dark",,
346,1500-1999,Natural Gas,"Wood Stud, R-7",68F,37492,20 ACH50,"30% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1970s,67F,320084,Unheated Basement,"Fuel Furnace, 80% AFUE",2,EF 17.6,Natural Gas Standard,4,F12 B12 L12 R12,"Double, Clear, Metal, Air, Exterior Clear Storm",51681.3247984503,Single-Family Detached,1,,1960-79,Room AC,Wood Frame,Composition Shingles,,Vented Attic
347,1500-1999,Propane,"Wood Stud, R-11",70F,149226,10 ACH50,"20% Leakage to Outside, R-4",Ducted Heating,Owner,1980s,76F,320097,Slab,"Fuel Furnace, 80% AFUE",6,EF 17.6,Propane Standard,4,F9 B9 L9 R9,"Double, Clear, Non-metal, Air",41317.1594728798,Single-Family Detached,1,,1980-99,Central AC,Wood Frame,Composition Shingles,1 Car,
348,3000-3999,Electricity,"Wood Stud, Uninsulated",70F,85012,25 ACH50,,Non-Ducted Heating,Owner,<1940,70F,321274,Unheated Basement,"Electric Baseboard, 100% Efficiency",5,EF 19.9,Electric Standard,5,F9 B9 L9 R9,"Single, Clear, Non-metal",80479.6604378536,Single-Family Detached,2,,<1940,,Wood Frame,"Asphalt Shingles, Medium",2 Car,Vented Attic
349,2500-2999,Natural Gas,"Wood Stud, R-19",55F,0,6 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Not Available,1990s,76F,321301,Unheated Basement,"Fuel Furnace, 80% AFUE",0,EF 17.6,Natural Gas Premium,4,F18 B18 L18 R18,"Double, Clear, Non-metal, Air",13168.8554671186,Single-Family Attached,2,,1980-99,Central AC,Wood Frame,"Asphalt Shingles, Medium",,
350,1000-1499,Other Fuel,"Wood Stud, R-7",67F,38588,20 ACH50,,Non-Ducted Heating,Owner,1970s,76F,323456,Heated Basement,"Fuel Wall/Floor Furnace, 60% AFUE",1,EF 6.7,FIXME Fuel Oil Indirect,3,F9 B9 L9 R9,"Single, Clear, Non-metal",8698.9355048519,Single-Family Detached,1,,1960-79,Room AC,Wood Frame,"Asphalt Shingles, Medium",,Unvented Attic
351,750-999,Natural Gas,"Brick, 12-in, 3-wythe, R-7",68F,89096,20 ACH50,,Non-Ducted Heating,Renter,1970s,75F,324063,Unheated Basement,Shared Heating,2,EF 17.6,Electric Standard,2,F12 B12 L12 R12,"Double, Clear, Metal, Air",18242.5018339401,Multi-Family with 5+ Units,1,15.0,1960-79,Room AC,Brick,"Asphalt Shingles, Medium",,
352,4000+,Propane,"Wood Stud, R-11",70F,149501,3 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,2000s,72F,324321,Heated Basement,"Fuel Furnace, 76% AFUE",3,EF 21.9,Propane Standard,4,F12 B12 L12 R12,"Double, Low-E, Non-metal, Air, M-Gain",66508.9625227437,Single-Family Detached,2,,2000-09,Room AC,Wood Frame,"Asphalt Shingles, Medium",3 Car,
353,750-999,Electricity,"Brick, 12-in, 3-wythe, Uninsulated",75F,4849,25 ACH50,,Ducted Heating,Renter,<1940,75F,325136,Unheated Basement,Shared Heating,1,EF 6.7,Electric Premium,1,F30 B30 L30 R30,"Single, Clear, Metal",24151.4007507524,Multi-Family with 5+ Units,5,20.0,<1940,Room AC,Brick,"Asphalt Shingles, Medium",,
354,2000-2499,Propane,"Brick, 12-in, 3-wythe, Uninsulated",70F,4849,20 ACH50,,Non-Ducted Heating,Renter,<1940,65F,325521,Vented Crawlspace,"Fuel Wall/Floor Furnace, 68% AFUE",1,EF 17.6,Electric Standard,3,F15 B15 L15 R15,"Double, Clear, Metal, Air",51628.5720058193,Multi-Family with 2 - 4 Units,2,4.0,<1940,Room AC,Brick,"Tile, Clay or Ceramic",,
355,0-499,Natural Gas,"Brick, 12-in, 3-wythe, Uninsulated",75F,27012,10 ACH50,,Non-Ducted Heating,Renter,1960s,68F,326184,Vented Crawlspace,"Fuel Wall/Floor Furnace, 68% AFUE",1,EF 19.9,Natural Gas Standard,1,F12 B12 L12 R12,"Double, Low-E, Non-metal, Air, M-Gain",10542.9386783755,Multi-Family with 2 - 4 Units,2,4.0,1960-79,Room AC,Brick,"Tile, Clay or Ceramic",,
356,3000-3999,Natural Gas,"Wood Stud, Uninsulated",68F,111217,15 ACH50,"20% Leakage to Outside, Uninsulated",Non-Ducted Heating,Owner,<1940,76F,326772,Unheated Basement,"Fuel Boiler, 80% AFUE",6,EF 19.9,Electric Standard,5,F12 B12 L12 R12,"Single, Clear, Non-metal",94866.2262015378,Single-Family Detached,2,,<1940,Central AC,Wood Frame,Composition Shingles,,
357,750-999,Other Fuel,"Wood Stud, Uninsulated",55F,0,40 ACH50,,Non-Ducted Heating,Not Available,<1940,72F,326882,Heated Basement,"Fuel Wall/Floor Furnace, 60% AFUE",0,EF 19.9,Electric Premium,2,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",1754.03035498075,Single-Family Detached,1,,<1940,Room AC,Wood Frame,Composition Shingles,,Vented Attic
358,2500-2999,Natural Gas,"Wood Stud, Uninsulated",70F,74877,3 ACH50,"0% Leakage to Outside, Uninsulated",Non-Ducted Heating,Owner,1960s,72F,326900,Heated Basement,"Fuel Boiler, 80% AFUE",2,EF 10.5,Natural Gas Standard,3,F9 B9 L9 R9,"Double, Clear, Non-metal, Air",60760.6665523857,Single-Family Detached,2,,1960-79,Central AC,Wood Frame,Composition Shingles,2 Car,Vented Attic
359,0-499,Other Fuel,"Wood Stud, Uninsulated",55F,0,5 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Not Available,1960s,70F,327647,Heated Basement,"Fuel Furnace, 60% AFUE",0,EF 19.9,Fuel Oil Premium,1,F30 B30 L30 R30,"Double, Clear, Metal, Air",4472.85067296845,Single-Family Detached,1,,1960-79,Central AC,Wood Frame,"Asphalt Shingles, Medium",1 Car,Vented Attic
360,750-999,Propane,"Wood Stud, R-19",68F,89096,30 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1980s,75F,327733,Ambient,"Fuel Furnace, 92.5% AFUE",2,EF 17.6,Electric Standard,2,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",22501.703696753,Mobile Home,1,,1980-99,Room AC,Wood Frame,"Metal, Dark",,
361,1500-1999,Natural Gas,"Wood Stud, R-11",67F,128932,30 ACH50,"10% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1980s,75F,328101,Vented Crawlspace,"Fuel Furnace, 80% AFUE",2,EF 15.9,Natural Gas Premium,3,F15 B15 L15 R15,"Single, Clear, Metal",62406.2606114028,Single-Family Detached,2,,1980-99,Central AC,Wood Frame,Composition Shingles,2 Car,Finished Attic or Cathedral Ceilings
